OID_,Date,Time,Latitude,Longitude,Turtle_ID,Turtle_sex,Altitude,Duration,Temperature,Voltage,DOP,Satellites,EST_Time,NEAR_FID,NEAR_DIST
332,7/31/2022 0:00:00,11:00,41.575220870000003,-71.724975430000001,L1R4,female,30.640000000000001,11.666666670000000,29.333333329999999,0,1.333333333000000,7.666666667000000,7/31/2022 11:00:00,2,370.661888602444549
333,7/31/2022 0:00:00,19:00,41.574953170000001,-71.725067229999993,L1R4,female,22.469999999999999,20.333333329999999,28.500000000000000,0,1.800000000000000,5.000000000000000,7/31/2022 19:00:00,2,369.857180745855828
334,8/1/2022 0:00:00,7:00,41.575113129999998,-71.725246999999996,L1R4,female,25.046666670000000,27.333333329999999,22.333333329999999,0,3.066666667000000,4.666666667000000,8/1/2022 7:00:00,2,389.151522212573525
335,8/1/2022 0:00:00,11:00,41.575562200000000,-71.725312230000000,L1R4,female,89.876666670000006,10.666666670000000,26.000000000000000,0,2.200000000000000,5.000000000000000,8/1/2022 11:00:00,2,408.101110100445169
336,4/14/2022 0:00:00,13:00,41.578469830000003,-71.720695829999997,L3R1,male,-13.960000000000001,19.666666670000001,33.666666669999998,0,1.733333333000000,6.000000000000000,4/14/2022 13:00:00,2,22.607143785418508
337,4/14/2022 0:00:00,19:00,41.578550530000001,-71.720339999999993,L3R1,male,21.640000000000001,23.666666670000001,22.666666670000001,0,1.866666667000000,5.000000000000000,4/14/2022 19:00:00,2,8.280096235352325
338,4/15/2022 0:00:00,13:00,41.578051000000002,-71.720683699999995,L3R1,male,-23.813333329999999,23.666666670000001,32.500000000000000,0,2.266666667000000,5.000000000000000,4/15/2022 13:00:00,2,34.873486695734790
339,4/23/2022 0:00:00,13:00,41.578879299999997,-71.720518130000002,L3R1,male,57.329999999999998,17.666666670000001,32.833333330000002,0,1.933333333000000,5.000000000000000,4/23/2022 13:00:00,2,0.414732641847638
340,4/25/2022 0:00:00,13:00,41.578572500000000,-71.720839830000003,L3R1,male,-0.700000000000000,21.000000000000000,30.333333329999999,0,2.400000000000000,5.666666667000000,4/25/2022 13:00:00,2,32.247062672238272
341,4/25/2022 0:00:00,19:00,41.578473199999998,-71.720904750000003,L3R1,male,-2.080000000000000,31.000000000000000,17.500000000000000,0,2.400000000000000,5.000000000000000,4/25/2022 19:00:00,2,39.604573540011685
342,4/26/2022 0:00:00,7:00,41.578478130000001,-71.720887329999996,L3R1,male,13.123333329999999,21.000000000000000,9.500000000000000,0,1.866666667000000,5.000000000000000,4/26/2022 7:00:00,2,38.075416084318583
343,4/26/2022 0:00:00,13:00,41.578472470000001,-71.720902300000006,L3R1,male,21.870000000000001,15.666666670000000,12.166666670000000,0,2.800000000000000,5.000000000000000,4/26/2022 13:00:00,2,39.418685907128726
344,4/26/2022 0:00:00,19:00,41.578486230000003,-71.720935030000007,L3R1,male,27.176666669999999,12.333333330000000,11.333333330000000,0,1.800000000000000,5.666666667000000,4/26/2022 19:00:00,2,41.819942431894560
345,4/27/2022 0:00:00,7:00,41.578433629999999,-71.720885699999997,L3R1,male,25.223333329999999,38.333333330000002,11.500000000000000,0,1.933333333000000,5.000000000000000,4/27/2022 7:00:00,2,38.947095320751750
346,4/27/2022 0:00:00,13:00,41.578458099999999,-71.720815000000002,L3R1,male,23.666666670000001,40.333333330000002,17.333333329999999,0,2.000000000000000,4.333333333000000,4/27/2022 13:00:00,2,32.575015949637965
347,4/29/2022 0:00:00,13:00,41.578390349999999,-71.720388150000005,L3R1,male,26.375000000000000,20.500000000000000,28.500000000000000,0,1.800000000000000,5.000000000000000,4/29/2022 13:00:00,2,0.507928237948088
348,4/30/2022 0:00:00,13:00,41.577054169999997,-71.720443169999996,L3R1,male,-1.483333333000000,20.666666670000001,36.666666669999998,0,1.533333333000000,6.000000000000000,4/30/2022 13:00:00,2,47.165660445069300
349,5/1/2022 0:00:00,13:00,41.576767769999996,-71.720399169999993,L3R1,male,12.273333330000000,21.333333329999999,34.500000000000000,0,1.800000000000000,5.000000000000000,5/1/2022 13:00:00,2,41.518913457604860
350,5/5/2022 0:00:00,13:00,41.578966350000002,-71.720543050000003,L3R1,male,28.850000000000001,70.000000000000000,30.500000000000000,0,2.800000000000000,4.000000000000000,5/5/2022 13:00:00,2,0.155898680936488
351,5/8/2022 0:00:00,13:00,41.578943830000000,-71.720307629999994,L3R1,male,-13.033333330000000,28.333333329999999,24.166666670000001,0,1.933333333000000,5.000000000000000,5/8/2022 13:00:00,2,18.994574045047699
352,5/8/2022 0:00:00,19:00,41.578714769999998,-71.719914130000006,L3R1,male,34.733333330000001,13.000000000000000,16.166666670000001,0,2.200000000000000,4.666666667000000,5/8/2022 19:00:00,2,46.560144707970309
353,5/9/2022 0:00:00,7:00,41.578783799999997,-71.719843800000007,L3R1,male,22.070000000000000,51.333333330000002,8.833333333000001,0,2.600000000000000,5.000000000000000,5/9/2022 7:00:00,2,53.740742039232686
354,5/10/2022 0:00:00,13:00,41.577411669999996,-71.719822730000004,L3R1,male,26.086666670000000,13.333333330000000,30.166666670000001,0,1.400000000000000,6.000000000000000,5/10/2022 13:00:00,2,13.753809956043185
355,5/11/2022 0:00:00,19:00,41.577429100000003,-71.719819099999995,L3R1,male,20.899999999999999,31.000000000000000,27.000000000000000,0,3.400000000000000,5.000000000000000,5/11/2022 19:00:00,2,14.595245663254190
356,5/12/2022 0:00:00,13:00,41.578304000000003,-71.720100400000007,L3R1,male,25.883333329999999,44.333333330000002,36.833333330000002,0,2.066666667000000,4.666666667000000,5/12/2022 13:00:00,2,19.770618789394547
357,5/13/2022 0:00:00,13:00,41.577541600000004,-71.720040699999998,L3R1,male,15.846666669999999,21.000000000000000,38.000000000000000,0,2.000000000000000,5.000000000000000,5/13/2022 13:00:00,2,0.432992871972763
358,5/14/2022 0:00:00,13:00,41.576825929999998,-71.720325570000000,L3R1,male,30.103333330000002,39.000000000000000,38.000000000000000,0,1.866666667000000,5.000000000000000,5/14/2022 13:00:00,2,39.659044489137010
359,5/15/2022 0:00:00,7:00,41.577100299999998,-71.720078400000006,L3R1,male,7.815000000000000,70.000000000000000,21.250000000000000,0,2.500000000000000,3.500000000000000,5/15/2022 7:00:00,2,16.538021981466564
360,5/15/2022 0:00:00,13:00,41.577122070000001,-71.720267269999994,L3R1,male,12.619999999999999,23.666666670000001,29.166666670000001,0,1.800000000000000,5.000000000000000,5/15/2022 13:00:00,2,30.952473712038252
361,5/16/2022 0:00:00,13:00,41.577108500000001,-71.720081370000003,L3R1,male,15.316666670000000,70.000000000000000,49.333333330000002,0,2.800000000000000,4.000000000000000,5/16/2022 13:00:00,2,16.516171125230677
362,5/16/2022 0:00:00,19:00,41.578237000000001,-71.720201669999994,L3R1,male,13.673333330000000,23.666666670000001,22.333333329999999,0,2.066666667000000,4.666666667000000,5/16/2022 19:00:00,2,9.553798419129530
363,5/19/2022 0:00:00,7:00,41.579900899999998,-71.720842930000003,L3R1,male,4.776666667000000,42.666666669999998,16.833333329999999,0,1.800000000000000,4.666666667000000,5/19/2022 7:00:00,2,5.274531885921814
364,5/19/2022 0:00:00,13:00,41.579868470000001,-71.720884069999997,L3R1,male,25.413333330000000,51.000000000000000,16.500000000000000,0,2.400000000000000,4.333333333000000,5/19/2022 13:00:00,2,9.311935760247101
365,5/19/2022 0:00:00,19:00,41.579796569999999,-71.720860299999998,L3R1,male,60.030000000000001,47.333333330000002,17.166666670000001,0,2.533333333000000,4.666666667000000,5/19/2022 19:00:00,2,8.836848786903959
366,5/20/2022 0:00:00,7:00,41.579838729999999,-71.720972570000001,L3R1,male,21.096666670000001,43.666666669999998,14.166666670000000,0,2.533333333000000,4.333333333000000,5/20/2022 7:00:00,2,17.176776964218931
367,5/20/2022 0:00:00,13:00,41.579755329999998,-71.720934869999994,L3R1,male,4.413333333000000,70.000000000000000,41.000000000000000,0,2.266666667000000,4.000000000000000,5/20/2022 13:00:00,2,15.795481168428706
