"","Turtle_ID","Latitude","Longitude","Longitude.1","Latitude.1","optional"
"413","L3R1",41.57739463,-71.72071793,273181.594664274,4606431.84754359,TRUE
"414","L3R1",41.5786049,-71.7202846,273221.960792393,4606565.09152825,TRUE
"415","L3R1",41.57830407,-71.7212849,273137.509004026,4606534.31885813,TRUE
"416","L3R1",41.578319,-71.72129633,273136.608337316,4606536.00668265,TRUE
"417","L3R1",41.57833395,-71.7212604,273139.656308686,4606537.57217496,TRUE
"418","L3R1",41.57921467,-71.72077793,273182.965677871,4606634.09488934,TRUE
"419","L3R1",41.57841,-71.7182795,273388.450320678,4606538.18128297,TRUE
"420","L3R1",41.5785571,-71.7178535,273424.481934318,4606553.39562387,TRUE
"421","L3R1",41.5787111,-71.7175168,273453.092314772,4606569.61080891,TRUE
"422","L3R1",41.57872373,-71.717517,273453.119815715,4606571.01371584,TRUE
"423","L3R1",41.57867163,-71.7176773,273439.572894675,4606565.64975742,TRUE
"424","L3R1",41.57850025,-71.7187838,273346.720950576,4606549.52718715,TRUE
"425","L3R1",41.57837063,-71.72046273,273206.289255113,4606539.54748487,TRUE
"426","L3R1",41.5785435,-71.7205578,273198.968260708,4606558.99219756,TRUE
"427","L3R1",41.57835087,-71.72124867,273140.693540993,4606539.42005201,TRUE
"428","L3R1",41.57835177,-71.72126767,273139.112597696,4606539.56995226,TRUE
"429","L3R1",41.57834977,-71.7212638,273139.428247993,4606539.33770294,TRUE
"430","L3R1",41.57840597,-71.7213878,273129.286788159,4606545.90403011,TRUE
"431","L3R1",41.57838807,-71.72139763,273128.404530439,4606543.94234246,TRUE
"432","L3R1",41.57830613,-71.72152087,273117.842572579,4606535.16820141,TRUE
"433","L3R1",41.57837873,-71.7215012,273119.736831184,4606543.17766564,TRUE
"434","L3R1",41.57842923,-71.720251,273224.147077,4606545.4975388,TRUE
"435","L3R1",41.5784578,-71.72075197,273182.479581134,4606549.98696392,TRUE
"436","L3R1",41.5784082,-71.7207348,273183.737411713,4606544.43444181,TRUE
"437","L3R1",41.57869915,-71.7203415,273217.546860176,4606575.70624083,TRUE
"438","L3R1",41.578702,-71.72126597,273140.481008801,4606578.45354979,TRUE
"439","L3R1",41.57862397,-71.72131867,273135.813946749,4606569.92802356,TRUE
